university,course_code,title,url
Stanford,CS 295,Software Engineering,https://www.coursicle.com/stanford/courses/CS/295/
Stanford,CS 298,Seminar on Teaching Introductory Computer Science,https://www.coursicle.com/stanford/courses/CS/298/
Stanford,CS 300,Departmental Lecture Series,https://www.coursicle.com/stanford/courses/CS/300/
Stanford,CS 309A,Cloud Computing Seminar,https://www.coursicle.com/stanford/courses/CS/309A/
Stanford,CS 315B,Parallel Computing Research Project,https://www.coursicle.com/stanford/courses/CS/315B/
Stanford,CS 316,Advanced Multi-Core Systems,https://www.coursicle.com/stanford/courses/CS/316/
Stanford,CS 320,Value of Data and AI,https://www.coursicle.com/stanford/courses/CS/320/
Stanford,CS 325B,Data for Sustainable Development,https://www.coursicle.com/stanford/courses/CS/325B/
Stanford,CS 326,Topics in Advanced Robotic Manipulation,https://www.coursicle.com/stanford/courses/CS/326/
Stanford,CS 327A,Advanced Robotic Manipulation,https://www.coursicle.com/stanford/courses/CS/327A/
Stanford,CS 330,Deep Multi-task and Meta Learning,https://www.coursicle.com/stanford/courses/CS/330/
Stanford,CS 331B,Representation Learning in Computer Vision,https://www.coursicle.com/stanford/courses/CS/331B/
Stanford,CS 332,Advanced Survey of Reinforcement Learning,https://www.coursicle.com/stanford/courses/CS/332/
Stanford,CS 333,Safe and Interactive Robotics,https://www.coursicle.com/stanford/courses/CS/333/
Stanford,CS 334A,Convex Optimization I,https://www.coursicle.com/stanford/courses/CS/334A/
Stanford,CS 335,"Fair, Accountable, and Transparent (FAT) Deep Learning",https://www.coursicle.com/stanford/courses/CS/335/
Stanford,CS 336,Robot Perception and Decision-Making: Optimal and Learning-b...,https://www.coursicle.com/stanford/courses/CS/336/
Stanford,CS 337,AI-Assisted Care,https://www.coursicle.com/stanford/courses/CS/337/
Stanford,CS 341,Project in Mining Massive Data Sets,https://www.coursicle.com/stanford/courses/CS/341/
Stanford,CS 342,Building for Digital Health,https://www.coursicle.com/stanford/courses/CS/342/
Stanford,CS 344,Topics in Computer Networks,https://www.coursicle.com/stanford/courses/CS/344/
Stanford,CS 347,Human-Computer Interaction Research,https://www.coursicle.com/stanford/courses/CS/347/
Stanford,CS 348A,Computer Graphics: Geometric Modeling & Processing,https://www.coursicle.com/stanford/courses/CS/348A/
Stanford,CS 348B,Computer Graphics: Image Synthesis Techniques,https://www.coursicle.com/stanford/courses/CS/348B/
Stanford,CS 348C,Computer Graphics: Animation and Simulation,https://www.coursicle.com/stanford/courses/CS/348C/
Stanford,CS 348E,"Character Animation: Modeling, Simulation, and Control of Hu...",https://www.coursicle.com/stanford/courses/CS/348E/
Stanford,CS 348K,Visual Computing Systems,https://www.coursicle.com/stanford/courses/CS/348K/
Stanford,CS 348V,Visual Computing Systems,https://www.coursicle.com/stanford/courses/CS/348V/
Stanford,CS 349D,Cloud Computing Technology,https://www.coursicle.com/stanford/courses/CS/349D/
Stanford,CS 349F,Technology for Financial Systems,https://www.coursicle.com/stanford/courses/CS/349F/
Stanford,CS 350,Secure Compilation,https://www.coursicle.com/stanford/courses/CS/350/
Stanford,CS 353,The Practice of Theory Research,https://www.coursicle.com/stanford/courses/CS/353/
